Network,n_nodes,nlinks,conn_components,n_isolated,AvgPathLen,avgDegree,GCC,diameter,radius,centralization
SeedGeneInteractome_LCC,68,243,1,0,3.0851624231782266,7.147058823529412,0.3421786498776118,7,4,0.18227046585255538
IntersectionInteractome_LCC,1120,7603,1,0,3.298303651219201,13.576785714285714,0.24990619451526822,9,5,0.1561530308334972
UnionInteractome_LCC,5624,108993,1,0,2.863535294610203,38.7599573257468,0.18214099466266792,6,4,0.1581996061938272
