Network,n_nodes,nlinks,conn_components,n_isolated,AvgPathLen,avgDegree,GCC,diameter,radius,centralization
SeedGeneInteractome,91,271,4,13,1.7208791208791208,5.956043956043956,0.3124704929488381,7,1,0.14818976279650437
IntersectionInteractome,1151,7630,10,8,3.123002304234503,13.258036490008688,0.24317544557523926,9,1,0.15221402353653457
UnionInteractome,5627,108996,2,0,2.8604827380252553,38.74035898347255,0.18204388732590096,6,1,0.1581187028478888
