interactor A gene symbol	interactor B gene symbol	interactor A Uniprot AC	interactor B Uniprot AC	database source
IFNG	RP3-503F13.3	P01579	-	Biogrid
IFNG	GOPC	P01579	Q9HD26	Biogrid
IFNG	IFNGR2	P01579	P38484	Biogrid
IFNG	STAT6	P01579	P42226	Biogrid
IFNG	IFNG	P01579	P01579	Biogrid
CD28	PIK3CA	P10747	P42336	Biogrid
CD28	DUSP14	P10747	O95147	Biogrid
CD28	PIK3R1	P10747	P27986	Biogrid
CD28	CD80	P10747	P33681	Biogrid
CD28	DOK1	P10747	Q99704	Biogrid
CD28	PIK3R2	P10747	O00459	Biogrid
CD28	RP3-370M22.1	P10747	-	Biogrid
CD28	RP23-28I4.1	P10747	-	Biogrid
CD28	GRB2	P10747	P62993	Biogrid
CD28	VAV1	P10747	P15498	Biogrid
HLA-B	HLA-B	P01889	P01889	Biogrid
HLA-B	CDABP0067	P01889	-	Biogrid
HLA-B	TRIB3	P01889	Q96RU7	Biogrid
HLA-B	RP5-1103G7.7	P01889	-	Biogrid
HLA-B	LILRB2	P01889	Q8N423	Biogrid
HLA-B	XXbac-BCX105G6.12-005	P01889	-	Biogrid
HLA-B	LILRB1	P01889	Q8NHL6	Biogrid
HLA-B	XXbac-BCX85G21.4	P01889	-	Biogrid
HLA-B	ARHGEF4	P01889	Q9NR80	Biogrid
HLA-B	PCK1	P01889	P35558	Biogrid
HLA-B	MMS19	P01889	Q96T76	Biogrid
HLA-B	RP11-452K12.5	P01889	-	Biogrid
HLA-B	SIAE	P01889	Q9HAT2	Biogrid
HLA-B	EDEM1	P01889	Q92611	Biogrid
HLA-B	CXCR4	P01889	P61073	Biogrid
HLA-B	FAF2	P01889	Q96CS3	Biogrid
HLA-B	ERBB3	P01889	P21860	Biogrid
HLA-B	ADRB2	P01889	P07550	Biogrid
HLA-B	PI4KA	P01889	P42356	Biogrid
HLA-B	PTPRO	P01889	Q16827	Biogrid
HLA-B	ASIC4	P01889	Q96FT7	Biogrid
HLA-B	TCTN2	P01889	Q96GX1	Biogrid
HLA-B	HLA-G	P01889	P17693	Biogrid
HLA-B	DADB-15K14.8	P01889	-	Biogrid
HLA-B	ADAM21	P01889	Q9UKJ8	Biogrid
HLA-B	EGFR	P01889	P00533	Biogrid
HLA-B	TMPRSS11B	P01889	Q86T26	Biogrid
HLA-B	TMEM30A	P01889	Q9NV96	Biogrid
HLA-B	SDHA	P01889	P31040	Biogrid
HLA-B	Tap1	P01889	-	Biogrid
HLA-B	Tap2	P01889	-	Biogrid
HLA-B	env	P01889	-	Biogrid
HLA-B	HIV1gp8	P01889	-	Biogrid
HLA-B	HLA-C	P01889	P10321	Biogrid
KIR3DL1	KIR3DL1	P43629	P43629	Biogrid
KIR3DL1	XXbac-BCX195L8.4	P43629	-	Biogrid
KIR3DL1	KIR2DS2	P43629	P43631	Biogrid
KIR3DL1	CU464060.1	P43629	-	Biogrid
KIR3DL1	env	P43629	-	Biogrid
KIR3DL1	HIV1gp8	P43629	-	Biogrid
HLA-C	HLA-C	P10321	P10321	Biogrid
HLA-C	XXbac-BCX101P6.2	P10321	-	Biogrid
HLA-C	UBC	P10321	P0CG48	Biogrid
HLA-C	LILRB2	P10321	Q8N423	Biogrid
HLA-C	XXbac-BCX105G6.12-005	P10321	-	Biogrid
HLA-C	LILRB1	P10321	Q8NHL6	Biogrid
HLA-C	XXbac-BCX85G21.4	P10321	-	Biogrid
HLA-C	PCK1	P10321	P35558	Biogrid
HLA-C	KIR2DL1	P10321	P43626	Biogrid
HLA-C	XXbac-BCX195L8.1	P10321	-	Biogrid
HLA-C	KIR2DS2	P10321	P43631	Biogrid
HLA-C	CU464060.1	P10321	-	Biogrid
HLA-C	KIR2DL3	P10321	P43628	Biogrid
HLA-C	CU464054.1	P10321	-	Biogrid
HLA-C	TAP2	P10321	Q03519	Biogrid
HLA-C	DAAP-57C1.2	P10321	-	Biogrid
HLA-C	KIR2DL2	P10321	P43627	Biogrid
HLA-C	CU464060.2	P10321	-	Biogrid
HLA-C	FBXO6	P10321	Q9NRD1	Biogrid
HLA-C	RP3-330O12.3	P10321	-	Biogrid
HLA-C	MMS19	P10321	Q96T76	Biogrid
HLA-C	RP11-452K12.5	P10321	-	Biogrid
HLA-C	TMEM30A	P10321	Q9NV96	Biogrid
HLA-C	CDABP0067	P10321	-	Biogrid
HLA-C	PTCH1	P10321	Q13635	Biogrid
HLA-C	RP11-435O5.3	P10321	-	Biogrid
HLA-C	CDC25A	P10321	P30304	Biogrid
HLA-C	BATF2	P10321	Q8N1L9	Biogrid
HLA-C	RNF139	P10321	Q8WU17	Biogrid
HLA-C	CUL7	P10321	Q14999	Biogrid
HLA-C	CCDC8	P10321	Q9H0W5	Biogrid
HLA-C	ATP1B3	P10321	P54709	Biogrid
HLA-C	HMOX1	P10321	P09601	Biogrid
HLA-C	CTA-286B10.6	P10321	-	Biogrid
HLA-C	FAF2	P10321	Q96CS3	Biogrid
HLA-C	TMEM63B	P10321	Q5T3F8	Biogrid
HLA-C	RP3-421H19.2	P10321	-	Biogrid
HLA-C	IFI16	P10321	Q16666	Biogrid
HLA-C	MAPK8IP2	P10321	Q13387	Biogrid
HLA-C	ADRB2	P10321	P07550	Biogrid
HLA-C	ST6GAL1	P10321	P15907	Biogrid
HLA-C	PTPRO	P10321	Q16827	Biogrid
HLA-C	ASIC4	P10321	Q96FT7	Biogrid
HLA-C	TMED6	P10321	Q8WW62	Biogrid
HLA-C	UNQ9146/PRO34237	P10321	-	Biogrid
HLA-C	MTM1	P10321	Q13496	Biogrid
HLA-C	PPM1E	P10321	Q8WY54	Biogrid
HLA-C	MTMR12	P10321	Q9C0I1	Biogrid
HLA-C	HLA-G	P10321	P17693	Biogrid
HLA-C	DADB-15K14.8	P10321	-	Biogrid
HLA-C	DNAJC1	P10321	Q96KC8	Biogrid
HLA-C	RP11-399C16.1	P10321	-	Biogrid
HLA-C	TMEM223	P10321	A0PJW6	Biogrid
HLA-C	CDH1	P10321	P12830	Biogrid
HLA-C	ADAM33	P10321	Q9BZ11	Biogrid
HLA-C	RP5-964F7.2	P10321	-	Biogrid
HLA-C	ST8SIA4	P10321	Q92187	Biogrid
HLA-C	HTR3A	P10321	P46098	Biogrid
HLA-C	LIPG	P10321	Q9Y5X9	Biogrid
HLA-C	UNQ387/PRO719	P10321	-	Biogrid
HLA-C	GABRA3	P10321	P34903	Biogrid
HLA-C	TSHB	P10321	P01222	Biogrid
HLA-C	env	P10321	-	Biogrid
HLA-C	HIV1gp8	P10321	-	Biogrid
HLA-C	Bmpr1a	P10321	-	Biogrid
HLA-C	Ptpn2	P10321	-	Biogrid
HLA-C	Rab5c	P10321	-	Biogrid
HLA-C	RP23-390D17.8	P10321	-	Biogrid
HLA-C	Tgfbr1	P10321	-	Biogrid
HLA-C	RP23-457P12.1	P10321	-	Biogrid
HLA-C	Calml3	P10321	-	Biogrid
HLA-C	Tuba3a	P10321	-	Biogrid
IL10	IL10	P22301	P22301	Biogrid
IL10	RP11-262N9.1	P22301	-	Biogrid
IL10	IL10RA	P22301	Q13651	Biogrid
IL10	A2M	P22301	P01023	Biogrid
IL2	IL2RG	P60568	P31785	Biogrid
IL2	IL17A	P60568	Q16552	Biogrid
CCL2	CTA-134P22.3	P13500	-	Biogrid
CCL2	VCAN	P13500	P13611	Biogrid
CCL2	RP1-108C2.3	P13500	-	Biogrid
CCL2	PCNA	P13500	P12004	Biogrid
CCL2	CDC6	P13500	Q99741	Biogrid
CCL2	ORC4	P13500	O43929	Biogrid
CCL2	MCM7	P13500	P33993	Biogrid
CCL2	ORC2	P13500	Q13416	Biogrid
CCL2	MCM2	P13500	P49736	Biogrid
CCL2	CCR3	P13500	P51677	Biogrid
CCL2	Ccr2	P13500	-	Biogrid
CCL2	CCL2	P13500	P13500	Biogrid
CCL2	CCL5	P13500	P13501	Biogrid
CXCL12	CXCL12	P48061	P48061	Biogrid
CXCL12	FN1	P48061	P02751	Biogrid
CXCL12	CXCR4	P48061	P61073	Biogrid
CXCL12	DAZAP2	P48061	Q15038	Biogrid
CXCL12	VCAN	P48061	P13611	Biogrid
CXCL12	PF4	P48061	P02776	Biogrid
MBL2	KRT1	P11226	P04264	Biogrid
MBL2	MBL2	P11226	P11226	Biogrid
MBL2	RP11-94H3.1	P11226	-	Biogrid
MBL2	TRAPPC2	P11226	P0DI81	Biogrid
IL2RA	IL2RA	P01589	P01589	Biogrid
IL2RA	RP11-536K7.1	P01589	-	Biogrid
IL2RA	ICAM1	P01589	P05362	Biogrid
IL2RA	SNTA1	P01589	Q13424	Biogrid
CCL3	CCL3	P10147	P10147	Biogrid
CCL3	CCR4	P10147	P51679	Biogrid
CCL3	CCL4	P10147	P13236	Biogrid
CCL3	ZFP36	P10147	P26651	Biogrid
CCL3	CCR5	P10147	P51681	Biogrid
CCL3L1	CCR5	P16619	P51681	Biogrid
CCL3L1	CCR1	P16619	P32246	Biogrid
CCL3L1	CCR3	P16619	P51677	Biogrid
CX3CR1	A-152E5.2	P49238	-	Biogrid
TRIM5	TRIM21	Q9C035	P19474	Biogrid
TRIM5	MNAT1	Q9C035	P51948	Biogrid
TRIM5	SOCS1	Q9C035	O15524	Biogrid
TRIM5	UBE2N	Q9C035	P61088	Biogrid
TRIM5	PCBD1	Q9C035	P61457	Biogrid
TRIM5	MKRN3	Q9C035	Q13064	Biogrid
TRIM5	PSMD7	Q9C035	P51665	Biogrid
TRIM5	LZTR1	Q9C035	Q8N653	Biogrid
TRIM5	USP15	Q9C035	Q9Y4E8	Biogrid
TRIM5	CUEDC1	Q9C035	Q9NWM3	Biogrid
TRIM5	UBC	Q9C035	P0CG48	Biogrid
TRIM5	OTUD6A	Q9C035	Q7L8S5	Biogrid
TRIM5	OTUB2	Q9C035	Q96DC9	Biogrid
TRIM5	PSMC5	Q9C035	P62195	Biogrid
TRIM5	RP1-154G14.1	Q9C035	-	Biogrid
TRIM5	RP11-385F5.1	Q9C035	-	Biogrid
TRIM5	UBE2D2	Q9C035	P62837	Biogrid
TRIM5	XPO1	Q9C035	O14980	Biogrid
TRIM5	CREB1	Q9C035	P16220	Biogrid
TRIM5	ZWINT	Q9C035	O95229	Biogrid
TRIM5	MAP3K1	Q9C035	Q13233	Biogrid
TRIM5	RP23-46N3.2	Q9C035	-	Biogrid
TRIM5	UBE2D1	Q9C035	P51668	Biogrid
TRIM5	CGI-21	Q9C035	-	Biogrid
TRIM5	PRKCG	Q9C035	P05129	Biogrid
TRIM5	RP11-67K19.1	Q9C035	-	Biogrid
TRIM5	PSMC2	Q9C035	P35998	Biogrid
TRIM5	HSPA4	Q9C035	P34932	Biogrid
TRIM5	DADB-118P11.2	Q9C035	-	Biogrid
TRIM5	UBE2D3	Q9C035	P61077	Biogrid
TRIM5	PIAS1	Q9C035	O75925	Biogrid
TRIM5	MAP3K11	Q9C035	Q16584	Biogrid
TRIM5	HSPA8	Q9C035	P11142	Biogrid
TRIM5	RP1-111D6.3	Q9C035	-	Biogrid
TRIM5	USP2	Q9C035	O75604	Biogrid
TRIM5	RP11-356I2.3	Q9C035	-	Biogrid
TRIM5	HIV1gp2	Q9C035	-	Biogrid
TRIM5	UBE2D4	Q9C035	Q9Y2X8	Biogrid
TRIM5	TRIM5	Q9C035	Q9C035	Biogrid
TRIM5	IKBKG	Q9C035	Q9Y6K9	Biogrid
TRIM5	TRIM34	Q9C035	Q9BYJ4	Biogrid
TRIM5	UBE2H	Q9C035	P62256	Biogrid
TRIM5	TRIM6	Q9C035	Q9C030	Biogrid
TRIM5	UBB	Q9C035	P0CG47	Biogrid
TRIM5	AC002059.7	Q9C035	-	Biogrid
TRIM5	TAB3	Q9C035	Q8N5C8	Biogrid
TRIM5	USP5	Q9C035	P45974	Biogrid
TRIM5	LGALS3	Q9C035	P17931	Biogrid
TRIM5	HHV5wtgp108	Q9C035	-	Biogrid
TRIM5	TRIM35	Q9C035	Q9UPQ4	Biogrid
TRIM5	TUBA1A	Q9C035	Q71U36	Biogrid
TRIM5	UBE2K	Q9C035	P61086	Biogrid
TRIM5	RP11-297K8.3	Q9C035	-	Biogrid
TRIM5	YARS	Q9C035	-	Biogrid
TRIM5	PSMC4	Q9C035	P43686	Biogrid
TRIM5	SQSTM1	Q9C035	Q13501	Biogrid
TRIM5	RP4-636O23.1	Q9C035	-	Biogrid
TRIM5	UBE2V2	Q9C035	Q15819	Biogrid
APOA1	KIAA0754	P02647	O94854	Biogrid
APOA1	LBP	P02647	P18428	Biogrid
APOA1	C1QA	P02647	P02745	Biogrid
APOA1	GOT1L1	P02647	Q8NHS2	Biogrid
APOA1	DAAP-65D20.6	P02647	-	Biogrid
APOA1	APOD	P02647	P05090	Biogrid
APOA1	CMTM5	P02647	Q96DZ9	Biogrid
APOA1	MOCOS	P02647	Q96EN8	Biogrid
APOA1	RP11-101E13.2	P02647	-	Biogrid
APOA1	APOB	P02647	P04114	Biogrid
APOA1	DNTT	P02647	P04053	Biogrid
APOA1	TNS3	P02647	Q68CZ2	Biogrid
APOA1	SAA2	P02647	P0DJI9	Biogrid
APOA1	PSEC0156	P02647	-	Biogrid
APOA1	MAPK6	P02647	Q16659	Biogrid
APOA1	ABCA6	P02647	Q8N139	Biogrid
APOA1	TXNDC2	P02647	Q86VQ3	Biogrid
APOA1	RP11-284F21.3	P02647	-	Biogrid
APOA1	SERTAD3	P02647	Q9UJW9	Biogrid
APOA1	RP11-65B23.1	P02647	-	Biogrid
APOA1	AAG4	P02647	-	Biogrid
APOA1	ZNF558	P02647	Q96NG5	Biogrid
APOA1	IGKC	P02647	P01834	Biogrid
APOA1	GDPD1	P02647	Q8N9F7	Biogrid
APOA1	BRAP	P02647	Q7Z569	Biogrid
APOA1	DDX19B	P02647	Q9UMR2	Biogrid
APOA1	SPEF2	P02647	Q9C093	Biogrid
APOA1	HBA1	P02647	P69905	Biogrid
APOA1	PDE1A	P02647	P54750	Biogrid
APOA1	Cep135	P02647	-	Biogrid
APOA1	FAM83C	P02647	Q9BQN1	Biogrid
APOA1	ERVK-10	P02647	P10265|P10266|P61580|P87889	Biogrid
APOA1	RP11-93H24.1	P02647	-	Biogrid
APOA1	ROBO3	P02647	Q96MS0	Biogrid
APOA1	HP	P02647	P00738	Biogrid
APOA1	RP5-876C12.1	P02647	-	Biogrid
APOA1	DDX31	P02647	Q9H8H2	Biogrid
APOA1	GIG20	P02647	-	Biogrid
APOA1	APOC3	P02647	P02656	Biogrid
APOA1	RP11-569D9.1	P02647	-	Biogrid
APOA1	KRT9	P02647	P35527	Biogrid
APOA1	AKT2	P02647	P31751	Biogrid
APOA1	LCAT	P02647	P04180	Biogrid
APOA1	FN1	P02647	P02751	Biogrid
APOA1	SAFB2	P02647	Q14151	Biogrid
APOA1	QDPR	P02647	P09417	Biogrid
APOA1	JAK3	P02647	P52333	Biogrid
APOA1	APOF	P02647	Q13790	Biogrid
APOA1	MSTP134	P02647	-	Biogrid
APOA1	PP2464	P02647	-	Biogrid
APOA1	PLTP	P02647	P55058	Biogrid
APOA1	Papss1	P02647	-	Biogrid
APOA1	FGA	P02647	P02671	Biogrid
APOA1	RP3-527F8.3	P02647	-	Biogrid
APOA1	APOC1	P02647	P02654	Biogrid
APOA1	FAM169A	P02647	Q9Y6X4	Biogrid
APOA1	U2AF2	P02647	P26368	Biogrid
APOA1	RRP1B	P02647	Q14684	Biogrid
APOA1	ATP4A	P02647	P20648	Biogrid
APOA1	KRT1	P02647	P04264	Biogrid
APOA1	TTR	P02647	P02766	Biogrid
APOA1	PTPN5	P02647	P54829	Biogrid
APOA1	RP11-203M2.2	P02647	-	Biogrid
APOA1	RP11-98D18.12-005	P02647	-	Biogrid
APOA1	ABCA1	P02647	O95477	Biogrid
APOA1	SMPDL3A	P02647	Q92484	Biogrid
APOA1	hCG_24006	P02647	-	Biogrid
APOA1	APP	P02647	P05067	Biogrid
APOA1	NLRP1	P02647	Q9C000	Biogrid
APOA1	KRT16	P02647	P08779	Biogrid
APOA1	VCAM1	P02647	P19320	Biogrid
APOA1	Lep	P02647	-	Biogrid
APOA1	RP1-68O2.2	P02647	-	Biogrid
APOA1	MIS12	P02647	Q9H081	Biogrid
APOA1	mCG_129875	P02647	-	Biogrid
APOA1	SCARB1	P02647	Q8WTV0	Biogrid
APOA1	VCP	P02647	P55072	Biogrid
APOA1	ALDH2	P02647	P05091	Biogrid
APOA1	RP4-597N16.2	P02647	-	Biogrid
APOA1	APOA1	P02647	P02647	Biogrid
APOA1	GPLD1	P02647	P80108	Biogrid
APOA1	IGKV2-40	P02647	A0A087WW87	Biogrid
APOA1	CTA-941F9.7	P02647	-	Biogrid
APOA1	C1QC	P02647	P02747	Biogrid
APOA1	CP	P02647	P00450	Biogrid
APOA1	APOA2	P02647	P02652	Biogrid
APOA1	ABCA13	P02647	Q86UQ4	Biogrid
SERPINA1	RAP2A	P01009	P10114	Biogrid
SERPINA1	RP11-128N14.2	P01009	-	Biogrid
SERPINA1	MIS12	P01009	Q9H081	Biogrid
SERPINA1	KLK3	P01009	P07288	Biogrid
SERPINA1	ELANE	P01009	P08246	Biogrid
SERPINA1	PRTN3	P01009	P24158	Biogrid
SERPINA1	DERL2	P01009	Q9GZP9	Biogrid
SERPINA1	CGI-101	P01009	-	Biogrid
SERPINA1	DERL1	P01009	Q9BUN8	Biogrid
SERPINA1	UNQ243/PRO276	P01009	-	Biogrid
SERPINA1	VCP	P01009	P55072	Biogrid
SERPINA1	SERPINA1	P01009	P01009	Biogrid
SERPINA1	PRO0684	P01009	-	Biogrid
SERPINA1	OS9	P01009	Q13438	Biogrid
SERPINA1	ATP5C1	P01009	-	Biogrid
SERPINA1	RP11-401E9.1	P01009	-	Biogrid
SERPINA1	GSDMB	P01009	Q8TAX9	Biogrid
SERPINA1	PP4052	P01009	-	Biogrid
SERPINA1	SSR1	P01009	P43307	Biogrid
SERPINA1	PSEC0262	P01009	-	Biogrid
SERPINA1	CANX	P01009	P27824	Biogrid
SERPINA1	FN1	P01009	P02751	Biogrid
SERPINA1	HSPA5	P01009	P11021	Biogrid
SERPINA1	ALDH2	P01009	P05091	Biogrid
SERPINA1	PLK2	P01009	Q9NYY3	Biogrid
SERPINA1	DDX19B	P01009	Q9UMR2	Biogrid
SERPINA1	ZNF558	P01009	Q96NG5	Biogrid
SERPINA1	ICE2	P01009	Q659A1	Biogrid
SERPINA1	UNQ3101/PRO10100	P01009	-	Biogrid
SERPINA1	ERLEC1	P01009	Q96DZ1	Biogrid
SERPINA1	UNQ1878/PRO4321	P01009	-	Biogrid
SERPINA1	ECHS1	P01009	P30084	Biogrid
SERPINA1	SDC2	P01009	P34741	Biogrid
SERPINA1	RCHY1	P01009	Q96PM5	Biogrid
SERPINA1	VKORC1	P01009	Q9BQB6	Biogrid
SERPINA1	MSTP134	P01009	-	Biogrid
SERPINA1	LAMTOR5	P01009	O43504	Biogrid
SERPINA1	CA8	P01009	P35219	Biogrid
SERPINA1	GDPD1	P01009	Q8N9F7	Biogrid
SERPINA1	FBXO2	P01009	Q9UK22	Biogrid
SERPINA1	DDX31	P01009	Q9H8H2	Biogrid
SERPINA1	MAPK6	P01009	Q16659	Biogrid
SERPINA1	GOT1L1	P01009	Q8NHS2	Biogrid
SERPINA1	SNX27	P01009	Q96L92	Biogrid
SERPINA1	RP11-98D18.12-005	P01009	-	Biogrid
SERPINA1	UPF3A	P01009	Q9H1J1	Biogrid
SERPINA1	RP11-569D9.1	P01009	-	Biogrid
SERPINA1	HSPA8	P01009	P11142	Biogrid
SERPINA1	SQSTM1	P01009	Q13501	Biogrid
SERPINA1	CPR2	P01009	-	Biogrid
SERPINA1	YHR057C	P01009	-	Biogrid
SIRT1	SIRT1	Q96EB6	Q96EB6	Biogrid
SIRT1	RP11-57G10.3	Q96EB6	-	Biogrid
SIRT1	NR1H3	Q96EB6	Q13133	Biogrid
SIRT1	NR1H2	Q96EB6	P55055	Biogrid
SIRT1	NR0B2	Q96EB6	Q15466	Biogrid
SIRT1	HNF4A	Q96EB6	P41235	Biogrid
SIRT1	RP5-1013A22.1	Q96EB6	-	Biogrid
SIRT1	SETD7	Q96EB6	Q8WTS6	Biogrid
SIRT1	STK4	Q96EB6	Q13043	Biogrid
SIRT1	SMAD7	Q96EB6	O15105	Biogrid
SIRT1	MAPT	Q96EB6	P10636	Biogrid
SIRT1	VDR	Q96EB6	P11473	Biogrid
SIRT1	FOXO3	Q96EB6	O43524	Biogrid
SIRT1	FOXO4	Q96EB6	P98177	Biogrid
SIRT1	SUV39H1	Q96EB6	O43463	Biogrid
SIRT1	HES1	Q96EB6	Q14469	Biogrid
SIRT1	HEY2	Q96EB6	Q9UBP5	Biogrid
SIRT1	RP1-293L8.3	Q96EB6	-	Biogrid
SIRT1	KAT5	Q96EB6	Q92993	Biogrid
SIRT1	AKIP1	Q96EB6	Q9NQ31	Biogrid
SIRT1	AR	Q96EB6	P10275	Biogrid
SIRT1	RP11-383C12.1	Q96EB6	-	Biogrid
SIRT1	EZH2	Q96EB6	Q15910	Biogrid
SIRT1	BCL11A	Q96EB6	Q9H165	Biogrid
SIRT1	FOXO1	Q96EB6	Q12778	Biogrid
SIRT1	RRP8	Q96EB6	O43159	Biogrid
SIRT1	hucep-1	Q96EB6	-	Biogrid
SIRT1	ZBTB7A	Q96EB6	O95365	Biogrid
SIRT1	HSF1	Q96EB6	Q00613	Biogrid
SIRT1	KAT2B	Q96EB6	Q92831	Biogrid
SIRT1	MAPK8	Q96EB6	P45983	Biogrid
SIRT1	NUDT21	Q96EB6	O43809	Biogrid
SIRT1	PAPOLA	Q96EB6	P51003	Biogrid
SIRT1	PPARGC1A	Q96EB6	Q9UBK2	Biogrid
SIRT1	HNF1A	Q96EB6	P20823	Biogrid
SIRT1	SKI	Q96EB6	P12755	Biogrid
SIRT1	TP53	Q96EB6	P04637	Biogrid
SIRT1	BRD4	Q96EB6	O60885	Biogrid
SIRT1	MECOM	Q96EB6	Q03112	Biogrid
SIRT1	hCG_1640438	Q96EB6	-	Biogrid
SIRT1	ATG7	Q96EB6	O95352	Biogrid
SIRT1	ATG5	Q96EB6	Q9H1Y0	Biogrid
SIRT1	GABARAPL1	Q96EB6	Q9H0R8	Biogrid
SIRT1	USP22	Q96EB6	Q9UPT9	Biogrid
SIRT1	LTA4H	Q96EB6	P09960	Biogrid
SIRT1	NUDCD2	Q96EB6	Q8WVJ2	Biogrid
SIRT1	AHCY	Q96EB6	P23526	Biogrid
SIRT1	RBM25	Q96EB6	P49756	Biogrid
SIRT1	KYNU	Q96EB6	Q16719	Biogrid
SIRT1	HIC1	Q96EB6	Q14526	Biogrid
SIRT1	ESRRA	Q96EB6	P11474	Biogrid
SIRT1	DVL2	Q96EB6	O14641	Biogrid
SIRT1	CTNNB1	Q96EB6	P35222	Biogrid
SIRT1	OK/SW-cl.35	Q96EB6	-	Biogrid
SIRT1	MLLT3	Q96EB6	P42568	Biogrid
SIRT1	MLLT1	Q96EB6	Q03111	Biogrid
SIRT1	NPM1	Q96EB6	P06748	Biogrid
SIRT1	DOT1L	Q96EB6	Q8TEK3	Biogrid
SIRT1	AKT1	Q96EB6	P31749	Biogrid
SIRT1	BRINP1	Q96EB6	O60477	Biogrid
SIRT1	IB3089A	Q96EB6	-	Biogrid
SIRT1	ECT2	Q96EB6	Q9H8V3	Biogrid
SIRT1	CDKL1	Q96EB6	Q00532	Biogrid
SIRT1	RPTOR	Q96EB6	Q8N122	Biogrid
SIRT1	CDK6	Q96EB6	Q00534	Biogrid
SIRT1	CCAR2	Q96EB6	Q8N163	Biogrid
SIRT1	CHEK2	Q96EB6	O96017	Biogrid
SIRT1	RP11-436C9.1	Q96EB6	-	Biogrid
SIRT1	ZBTB38	Q96EB6	Q8NAP3	Biogrid
SIRT1	TADA2B	Q96EB6	Q86TJ2	Biogrid
SIRT1	SFRP4	Q96EB6	Q6FHJ7	Biogrid
SIRT1	DNMT1	Q96EB6	P26358	Biogrid
SIRT1	DNMT3B	Q96EB6	Q9UBC3	Biogrid
SIRT1	RP5-1085F17.2	Q96EB6	-	Biogrid
SIRT1	UVSSA	Q96EB6	Q2YD98	Biogrid
SIRT1	PML	Q96EB6	P29590	Biogrid
SIRT1	POP1	Q96EB6	Q99575	Biogrid
SIRT1	PPARA	Q96EB6	Q07869	Biogrid
SIRT1	SC22CB-5E3.5	Q96EB6	-	Biogrid
SIRT1	KCNA5	Q96EB6	P22460	Biogrid
SIRT1	KCNA4	Q96EB6	P22459	Biogrid
SIRT1	KCNAB2	Q96EB6	Q13303	Biogrid
SIRT1	RP1-233K16.1	Q96EB6	-	Biogrid
SIRT1	EP300	Q96EB6	Q09472	Biogrid
SIRT1	RP1-85F18.1	Q96EB6	-	Biogrid
SIRT1	E2F1	Q96EB6	Q01094	Biogrid
SIRT1	VHL	Q96EB6	P40337	Biogrid
SIRT1	PSME3	Q96EB6	P61289	Biogrid
SIRT1	STK11	Q96EB6	Q15831	Biogrid
SIRT1	RPS19BP1	Q96EB6	Q86WX3	Biogrid
SIRT1	RP5-1104E15.4	Q96EB6	-	Biogrid
SIRT1	CDK1	Q96EB6	P06493	Biogrid
SIRT1	IRS2	Q96EB6	Q9Y4H2	Biogrid
SIRT1	IRS1	Q96EB6	P35568	Biogrid
SIRT1	TSC2	Q96EB6	P49815	Biogrid
SIRT1	SREBF1	Q96EB6	P36956	Biogrid
SIRT1	TP73	Q96EB6	O15350	Biogrid
SIRT1	NMNAT1	Q96EB6	Q9HAN9	Biogrid
SIRT1	RP11-807G9.1	Q96EB6	-	Biogrid
SIRT1	APEX1	Q96EB6	P27695	Biogrid
SIRT1	SNW1	Q96EB6	Q13573	Biogrid
SIRT1	RARA	Q96EB6	P10276	Biogrid
SIRT1	MTA1	Q96EB6	Q13330	Biogrid
SIRT1	HOXB5	Q96EB6	P09067	Biogrid
SIRT1	RPL6	Q96EB6	Q02878	Biogrid
SIRT1	RPS2	Q96EB6	P15880	Biogrid
SIRT1	AKR1D1	Q96EB6	P51857	Biogrid
SIRT1	FGF10	Q96EB6	O15520	Biogrid
SIRT1	CWC15	Q96EB6	Q9P013	Biogrid
SIRT1	AD-002	Q96EB6	-	Biogrid
SIRT1	PARP1	Q96EB6	P09874	Biogrid
SIRT1	RP11-125A15.2	Q96EB6	-	Biogrid
SIRT1	FOXP3	Q96EB6	Q9BZS1	Biogrid
SIRT1	JM2	Q96EB6	-	Biogrid
SIRT1	ZEB1	Q96EB6	P37275	Biogrid
SIRT1	RP11-472N13.4	Q96EB6	-	Biogrid
SIRT1	WRN	Q96EB6	Q14191	Biogrid
SIRT1	USP37	Q96EB6	Q86T82	Biogrid
SIRT1	MPHOSPH8	Q96EB6	Q99549	Biogrid
SIRT1	RP11-523H24.1	Q96EB6	-	Biogrid
SIRT1	ZMIZ1	Q96EB6	Q9ULJ6	Biogrid
SIRT1	RP11-519K18.1	Q96EB6	-	Biogrid
SIRT1	ZYX	Q96EB6	Q15942	Biogrid
SIRT1	FOXL2	Q96EB6	P58012	Biogrid
SIRT1	TRIM28	Q96EB6	Q13263	Biogrid
SIRT1	EWSR1	Q96EB6	Q01844	Biogrid
SIRT1	AC002059.7	Q96EB6	-	Biogrid
SIRT1	HSP90AA1	Q96EB6	P07900	Biogrid
SIRT1	THOC5	Q96EB6	Q13769	Biogrid
SIRT1	LRPPRC	Q96EB6	P42704	Biogrid
SIRT1	FBXO7	Q96EB6	Q9Y3I1	Biogrid
SIRT1	LL22NC03-28H9.2	Q96EB6	-	Biogrid
SIRT1	SMEK1	Q96EB6	-	Biogrid
SIRT1	MSTP033	Q96EB6	-	Biogrid
SIRT1	HNRNPA1L2	Q96EB6	Q32P51	Biogrid
SIRT1	RP11-78J21.1	Q96EB6	-	Biogrid
